Treatment,day,Rec_day_adj,KO,meanRelAbun,kcat.mod,ksys.mod,kfam.mod
WD-ABX,D28,28,K03337,0.000282058,Inositol phosphate metabolism ,Metabolism,Carbohydrate metabolism
WD-ABX,D28,28,K03475,0.000401366,Ascorbate and aldarate metabolism ,Metabolism,Carbohydrate metabolism
WD-ABX,D28,28,K06896,0.000316596,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
WD-ABX,D28,28,K20108,0.000329448,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K00390,0.000103582,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D2,-3,K00390,0.000106941,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D2,2,K00390,0.000367208,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D2,4,K00390,2.42E-06,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D2,14,K00390,7.21E-05,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D2,28,K00390,7.82E-05,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,-13,K01739,4.42E-05,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,-13,K21739,6.80E-05,Energy metabolism,Metabolism,Energy metabolism
RC-ABX,D4,-13,K23304,2.43E-05,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,-3,K01739,0.000131695,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,-3,K21739,0.00017042,Energy metabolism,Metabolism,Energy metabolism
RC-ABX,D4,-3,K23304,0.00012086,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,2,K01739,8.39E-06,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,2,K21739,0.000607448,Energy metabolism,Metabolism,Energy metabolism
RC-ABX,D4,2,K23304,1.24E-05,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,4,K01739,0.000712529,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,4,K21739,0.000699189,Energy metabolism,Metabolism,Energy metabolism
RC-ABX,D4,4,K23304,0.00071574,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,14,K01739,0.000153488,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,14,K21739,0.000128839,Energy metabolism,Metabolism,Energy metabolism
RC-ABX,D4,14,K23304,0.000102266,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,28,K01739,0.00012325,Sulfur metabolism ,Metabolism,Energy metabolism
RC-ABX,D4,28,K21739,0.000142641,Energy metabolism,Metabolism,Energy metabolism
RC-ABX,D4,28,K23304,9.74E-05,Sulfur metabolism ,Metabolism,Energy metabolism
WD-ABX,D2,-13,K01739,3.92E-05,Sulfur metabolism ,Metabolism,Energy metabolism
WD-ABX,D2,-13,K21739,3.76E-05,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D2,-3,K01739,0.000100102,Sulfur metabolism ,Metabolism,Energy metabolism
WD-ABX,D2,-3,K21739,0.000291724,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D2,2,K01739,0.00059653,Sulfur metabolism ,Metabolism,Energy metabolism
WD-ABX,D2,2,K21739,0.002096234,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D2,14,K01739,0.000593267,Sulfur metabolism ,Metabolism,Energy metabolism
WD-ABX,D2,14,K21739,0.001195868,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D2,28,K01739,0.000284767,Sulfur metabolism ,Metabolism,Energy metabolism
WD-ABX,D2,28,K21739,0.000588902,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D14,-13,K01739,3.92E-05,Sulfur metabolism ,Metabolism,Energy metabolism
WD-ABX,D14,-13,K02381,3.80E-06,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D14,-3,K01739,0.000100102,Sulfur metabolism ,Metabolism,Energy metabolism
WD-ABX,D14,-3,K02381,1.57E-05,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D14,2,K01739,0.00059653,Sulfur metabolism ,Metabolism,Energy metabolism
WD-ABX,D14,2,K02381,0,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D14,14,K01739,0.000593267,Sulfur metabolism ,Metabolism,Energy metabolism
WD-ABX,D14,14,K02381,0.000491034,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D14,28,K01739,0.000284767,Sulfur metabolism ,Metabolism,Energy metabolism
WD-ABX,D14,28,K02381,0.000299725,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D28,-13,K02381,3.80E-06,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D28,-3,K02381,1.57E-05,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D28,2,K02381,0,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D28,14,K02381,0.000491034,Energy metabolism,Metabolism,Energy metabolism
WD-ABX,D28,28,K02381,0.000299725,Energy metabolism,Metabolism,Energy metabolism
RC-ABX,D2,-13,K00712,0.000108635,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,-13,K16568,0.00023913,Exopolysaccharide biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,-3,K00712,0.000226818,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,-3,K16568,0.000292112,Exopolysaccharide biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,2,K00712,0.00032926,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,2,K16568,0.001185386,Exopolysaccharide biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,4,K00712,0.000813075,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,4,K16568,0.000693285,Exopolysaccharide biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,14,K00712,0.000301156,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,14,K16568,0.000205558,Exopolysaccharide biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,28,K00712,0.000260664,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,28,K16568,0.000230182,Exopolysaccharide biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-13,K00712,0.000108635,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-13,K00887,5.12E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-13,K02840,3.01E-05,Lipopolysaccharide biosynthesis,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-13,K03739,0.000109625,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-13,K03740,6.49E-05,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-13,K08724,3.51E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-13,K08992,4.33E-05,Glycan metabolism,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-13,K12555,4.92E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-3,K00712,0.000226818,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-3,K00887,0.000110552,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-3,K02840,9.29E-05,Lipopolysaccharide biosynthesis,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-3,K03739,0.000149396,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-3,K03740,0.000146451,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-3,K08724,0.000119722,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-3,K08992,0.000110543,Glycan metabolism,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,-3,K12555,0.000123331,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,2,K00712,0.00032926,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,2,K00887,0,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,2,K02840,0,Lipopolysaccharide biosynthesis,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,2,K03739,0.000145558,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,2,K03740,0.000132081,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,2,K08724,1.17E-06,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,2,K08992,0.000104197,Glycan metabolism,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,2,K12555,1.33E-06,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,4,K00712,0.000813075,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,4,K00887,0.00060123,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,4,K02840,0.000700097,Lipopolysaccharide biosynthesis,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,4,K03739,0.001118589,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,4,K03740,0.000629827,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,4,K08724,0.000597459,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,4,K08992,0.000588401,Glycan metabolism,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,4,K12555,0.00069244,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,14,K00712,0.000301156,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,14,K00887,8.76E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,14,K02840,7.54E-05,Lipopolysaccharide biosynthesis,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,14,K03739,0.000121143,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,14,K03740,0.00013445,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,14,K08724,0.000103879,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,14,K08992,5.91E-05,Glycan metabolism,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,14,K12555,0.000109287,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,28,K00712,0.000260664,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,28,K00887,8.07E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,28,K02840,7.81E-05,Lipopolysaccharide biosynthesis,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,28,K03739,0.000154308,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,28,K03740,0.000150241,Teichoic acid biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,28,K08724,0.000115744,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,28,K08992,9.29E-05,Glycan metabolism,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D4,28,K12555,0.000123617,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-13,K00687,0,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-13,K00887,5.32E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-13,K03693,8.01E-06,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-13,K05362,0,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-13,K07441,9.90E-05,N-Glycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-13,K11936,0.000238841,Exopolysaccharide biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-13,K12555,2.58E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-13,K12556,0,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-3,K00687,6.13E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-3,K00887,7.01E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-3,K03693,0.000112768,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-3,K05362,5.41E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-3,K07441,0.000347142,N-Glycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-3,K11936,0.000178203,Exopolysaccharide biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-3,K12555,0.000139899,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,-3,K12556,4.49E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,2,K00687,0.0007766,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,2,K00887,0.000480548,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,2,K03693,0.000745852,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,2,K05362,0.000649206,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,2,K07441,0.002343836,N-Glycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,2,K11936,0.001140856,Exopolysaccharide biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,2,K12555,0.000839341,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,2,K12556,0.00057298,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,14,K00687,0.000440772,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,14,K00887,0.000493314,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,14,K03693,0.000620085,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,14,K05362,0.000603585,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,14,K07441,0.001208288,N-Glycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,14,K11936,0.000889657,Exopolysaccharide biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,14,K12555,0.000708289,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,14,K12556,0.000535574,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,28,K00687,0.000180587,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,28,K00887,0.000248918,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,28,K03693,0.000284886,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,28,K05362,0.000303442,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,28,K07441,0.00054936,N-Glycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,28,K11936,0.000426289,Exopolysaccharide biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,28,K12555,0.000331783,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D2,28,K12556,0.000258831,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-13,K00687,0,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-13,K00887,5.32E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-13,K03693,8.01E-06,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-13,K05362,0,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-13,K12555,2.58E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-13,K12556,0,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-3,K00687,6.13E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-3,K00887,7.01E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-3,K03693,0.000112768,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-3,K05362,5.41E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-3,K12555,0.000139899,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,-3,K12556,4.49E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,2,K00687,0.0007766,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,2,K00887,0.000480548,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,2,K03693,0.000745852,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,2,K05362,0.000649206,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,2,K12555,0.000839341,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,2,K12556,0.00057298,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,14,K00687,0.000440772,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,14,K00887,0.000493314,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,14,K03693,0.000620085,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,14,K05362,0.000603585,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,14,K12555,0.000708289,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,14,K12556,0.000535574,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,28,K00687,0.000180587,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,28,K00887,0.000248918,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,28,K03693,0.000284886,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,28,K05362,0.000303442,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,28,K12555,0.000331783,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D14,28,K12556,0.000258831,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D28,-13,K05362,0,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D28,-13,K12556,0,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D28,-3,K05362,5.41E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D28,-3,K12556,4.49E-05,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D28,2,K05362,0.000649206,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D28,2,K12556,0.00057298,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D28,14,K05362,0.000603585,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D28,14,K12556,0.000535574,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D28,28,K05362,0.000303442,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
WD-ABX,D28,28,K12556,0.000258831,Peptidoglycan biosynthesis ,Metabolism,Glycan biosynthesis and metabolism
RC-ABX,D2,-13,K01046,7.94E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
RC-ABX,D2,-3,K01046,8.58E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
RC-ABX,D2,2,K01046,0.000468461,Glycerolipid metabolism ,Metabolism,Lipid metabolism
RC-ABX,D2,4,K01046,1.22E-06,Glycerolipid metabolism ,Metabolism,Lipid metabolism
RC-ABX,D2,14,K01046,0.00012207,Glycerolipid metabolism ,Metabolism,Lipid metabolism
RC-ABX,D2,28,K01046,0.000130724,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,-13,K00105,3.15E-06,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,-13,K05879,1.95E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,-13,K05881,1.15E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,-13,K06123,0,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,-13,K13677,5.58E-06,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,-3,K00105,3.99E-05,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,-3,K05879,0.000127686,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,-3,K05881,8.74E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,-3,K06123,3.94E-05,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,-3,K13677,7.45E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,2,K00105,0.000529271,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,2,K05879,0.000840398,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,2,K05881,0.000795398,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,2,K06123,0.000505266,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,2,K13677,0.000859491,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,14,K00105,0.000517557,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,14,K05879,0.000718156,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,14,K05881,0.000667389,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,14,K06123,0.000260037,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,14,K13677,0.000691499,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,28,K00105,0.000246622,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,28,K05879,0.000345041,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,28,K05881,0.0003073,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,28,K06123,0.000112916,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D2,28,K13677,0.000323958,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,-13,K00105,3.15E-06,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,-13,K05881,1.15E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,-13,K06123,0,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,-13,K13677,5.58E-06,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,-13,K19003,4.17E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,-3,K00105,3.99E-05,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,-3,K05881,8.74E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,-3,K06123,3.94E-05,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,-3,K13677,7.45E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,-3,K19003,4.03E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,2,K00105,0.000529271,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,2,K05881,0.000795398,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,2,K06123,0.000505266,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,2,K13677,0.000859491,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,2,K19003,2.99E-07,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,14,K00105,0.000517557,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,14,K05881,0.000667389,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,14,K06123,0.000260037,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,14,K13677,0.000691499,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,14,K19003,0.00040578,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,28,K00105,0.000246622,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,28,K05881,0.0003073,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,28,K06123,0.000112916,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,28,K13677,0.000323958,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D14,28,K19003,0.00026122,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D28,-13,K00105,3.15E-06,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D28,-13,K19003,4.17E-05,Glycerolipid metabolism ,Metabolism,Lipid metabolism
WD-ABX,D28,-3,K00105,3.99E-05,Glycerophospholipid metabolism ,Metabolism,Lipid metabolism
